Date,Primary Type,Count
2004-01-31,ARSON,73
2004-02-29,ARSON,70
2004-03-31,ARSON,67
2004-04-30,ARSON,57
2004-05-31,ARSON,67
2004-06-30,ARSON,68
2004-07-31,ARSON,87
2004-08-31,ARSON,63
2004-09-30,ARSON,61
2004-10-31,ARSON,53
2004-11-30,ARSON,61
2004-12-31,ARSON,51
2005-01-31,ARSON,37
2005-02-28,ARSON,44
2005-03-31,ARSON,66
2005-04-30,ARSON,67
2005-05-31,ARSON,53
2005-06-30,ARSON,68
2005-07-31,ARSON,82
2005-08-31,ARSON,66
2005-09-30,ARSON,61
2005-10-31,ARSON,50
2005-11-30,ARSON,60
2005-12-31,ARSON,37
2006-01-31,ARSON,46
2006-02-28,ARSON,45
2006-03-31,ARSON,65
2006-04-30,ARSON,63
2006-05-31,ARSON,65
2006-06-30,ARSON,76
2006-07-31,ARSON,70
2006-08-31,ARSON,53
2006-09-30,ARSON,61
2006-10-31,ARSON,53
2006-11-30,ARSON,71
2006-12-31,ARSON,58
2007-01-31,ARSON,51
2007-02-28,ARSON,26
2007-03-31,ARSON,72
2007-04-30,ARSON,52
2007-05-31,ARSON,70
2007-06-30,ARSON,82
2007-07-31,ARSON,86
2007-08-31,ARSON,53
2007-09-30,ARSON,60
2007-10-31,ARSON,54
2007-11-30,ARSON,58
2007-12-31,ARSON,48
2008-01-31,ARSON,42
2008-02-29,ARSON,39
2008-03-31,ARSON,55
2008-04-30,ARSON,53
2008-05-31,ARSON,62
2008-06-30,ARSON,69
2008-07-31,ARSON,57
2008-08-31,ARSON,68
2008-09-30,ARSON,60
2008-10-31,ARSON,58
2008-11-30,ARSON,49
2008-12-31,ARSON,32
2009-01-31,ARSON,36
2009-02-28,ARSON,45
2009-03-31,ARSON,69
2009-04-30,ARSON,51
2009-05-31,ARSON,55
2009-06-30,ARSON,53
2009-07-31,ARSON,61
2009-08-31,ARSON,56
2009-09-30,ARSON,50
2009-10-31,ARSON,46
2009-11-30,ARSON,52
2009-12-31,ARSON,42
2010-01-31,ARSON,45
2010-02-28,ARSON,27
2010-03-31,ARSON,49
2010-04-30,ARSON,37
2010-05-31,ARSON,44
2010-06-30,ARSON,55
2010-07-31,ARSON,51
2010-08-31,ARSON,48
2010-09-30,ARSON,41
2010-10-31,ARSON,66
2010-11-30,ARSON,33
2010-12-31,ARSON,26
2011-01-31,ARSON,40
2011-02-28,ARSON,22
2011-03-31,ARSON,50
2011-04-30,ARSON,60
2011-05-31,ARSON,48
2011-06-30,ARSON,37
2011-07-31,ARSON,47
2011-08-31,ARSON,43
2011-09-30,ARSON,40
2011-10-31,ARSON,44
2011-11-30,ARSON,37
2011-12-31,ARSON,36
2012-01-31,ARSON,39
2012-02-29,ARSON,23
2012-03-31,ARSON,40
2012-04-30,ARSON,48
2012-05-31,ARSON,42
2012-06-30,ARSON,44
2012-07-31,ARSON,48
2012-08-31,ARSON,56
2012-09-30,ARSON,43
2012-10-31,ARSON,29
2012-11-30,ARSON,25
2012-12-31,ARSON,32
2013-01-31,ARSON,30
2013-02-28,ARSON,21
2013-03-31,ARSON,33
2013-04-30,ARSON,30
2013-05-31,ARSON,45
2013-06-30,ARSON,34
2013-07-31,ARSON,40
2013-08-31,ARSON,36
2013-09-30,ARSON,28
2013-10-31,ARSON,22
2013-11-30,ARSON,21
2013-12-31,ARSON,24
2014-01-31,ARSON,21
2014-02-28,ARSON,27
2014-03-31,ARSON,26
2014-04-30,ARSON,32
2014-05-31,ARSON,45
2014-06-30,ARSON,42
2014-07-31,ARSON,54
2014-08-31,ARSON,35
2014-09-30,ARSON,28
2014-10-31,ARSON,27
2014-11-30,ARSON,36
2014-12-31,ARSON,9
2004-01-31,ASSAULT,1959
2004-02-29,ASSAULT,2064
2004-03-31,ASSAULT,2584
2004-04-30,ASSAULT,2393
2004-05-31,ASSAULT,2777
2004-06-30,ASSAULT,2761
2004-07-31,ASSAULT,2720
2004-08-31,ASSAULT,2512
2004-09-30,ASSAULT,2691
2004-10-31,ASSAULT,2494
2004-11-30,ASSAULT,2021
2004-12-31,ASSAULT,1874
2005-01-31,ASSAULT,1860
2005-02-28,ASSAULT,1868
2005-03-31,ASSAULT,2214
2005-04-30,ASSAULT,2467
2005-05-31,ASSAULT,2626
2005-06-30,ASSAULT,2628
2005-07-31,ASSAULT,2554
2005-08-31,ASSAULT,2492
2005-09-30,ASSAULT,2504
2005-10-31,ASSAULT,2291
2005-11-30,ASSAULT,1844
2005-12-31,ASSAULT,1717
2006-01-31,ASSAULT,1959
2006-02-28,ASSAULT,1794
2006-03-31,ASSAULT,2180
2006-04-30,ASSAULT,2182
2006-05-31,ASSAULT,2509
2006-06-30,ASSAULT,2311
2006-07-31,ASSAULT,2510
2006-08-31,ASSAULT,2338
2006-09-30,ASSAULT,2193
2006-10-31,ASSAULT,2137
2006-11-30,ASSAULT,1908
2006-12-31,ASSAULT,1923
2007-01-31,ASSAULT,1722
2007-02-28,ASSAULT,1555
2007-03-31,ASSAULT,2297
2007-04-30,ASSAULT,2145
2007-05-31,ASSAULT,2732
2007-06-30,ASSAULT,2416
2007-07-31,ASSAULT,2567
2007-08-31,ASSAULT,2364
2007-09-30,ASSAULT,2452
2007-10-31,ASSAULT,2421
2007-11-30,ASSAULT,1899
2007-12-31,ASSAULT,1744
2008-01-31,ASSAULT,1754
2008-02-29,ASSAULT,1762
2008-03-31,ASSAULT,2043
2008-04-30,ASSAULT,2444
2008-05-31,ASSAULT,2508
2008-06-30,ASSAULT,2434
2008-07-31,ASSAULT,2429
2008-08-31,ASSAULT,2399
2008-09-30,ASSAULT,2259
